Text,Labels
"Alexander is a fabulous host, very flexible, excellent communication. It's a very nice person!<br/>The place is magical with plenty of surprises: the surrounding nature, the birds, lemon and orange trees, beautiful objects inside and (Website hidden by Airbnb) much to say.<br/>I recommend this place to anyone who like mystical vibes and silence. <br/>The only minus is the road...you better be a good driver!<br/>Location is very good: 34 minutes to Santa Monica, 15 minutes to grocery stores (Woodlands). I encourage everyone to visit Topanga: wonderful shopping !<br/>We will definitely come back as soon as we can.<br/>",location
Alex was a great host.  The view was amazing and we really enjoyed our relaxing stay.,location
"Fantastic peaceful getaway with convenient local shops, hiking and access to the beach. Some may not like the twisty drive up the canyon and to the property but didn't bother me a bit. If you are looking for somewhere with a good vibe  to relax away from the hustle and bustle this is it.  Host was responsive and helpful. Hope to return someday!",location
Beautiful views of the canyon!,location
"Alexander's home is a peaceful serene space. It is very quiet, surrounded by greenery and with beautiful views of the canyons. The house is spacious with every thing you would need to be comfortable, including a well equipped kitchen. The fire place was perfect for the chilly December nights! Topanga town itself is a hidden gem, wonderful restaurants, cafes and shops and only 10 mins from the beach. My husband, dog and I thoroughly enjoyed a relaxing city escape and would highly recommend to anyone looking to unwind.<br/><br/>Just to add - It is easy to find following (Hidden by Airbnb) maps and the road is paved, steep and windy yes, but if you go slow and use the mirrors you'll be fine!",location
Perfect space for my solo getaway. Stunning views. Close to hiking. Alexander was always just a text away when I had questions. He was very responsive and helpful. I would recommend this space to anyone looking for a peaceful getaway.,location
Four of us stayed here for 3 nights.<br/>It's a compact but but charming place with amazing views. The decks are an amazing place to sit and just enjoy the environment.<br/>Alexander is a great host. The place was absolutely clean and had just the right touches.<br/>We had a great time.,location
"Alexâs place is so awesome! The descriptions are very accurate. Heâs communicative and very helpful. I enjoyed all of the views, of which there are many. We watched the sunrise on one deck, and stared at the moon on the other! This place would be great for a meditative getaway (which we did), romantic stay for a couple, and also small groups of friends. We both appreciated the art, crystals, statues, singing bowls, record player, and all of the other awesome touches. Alexâs place has a great energy, and I left feeling like a better me :)",location
Such a lovely home and host!,location
Alexâs House was in a great setting in Topanga very close to hiking trails with two large decks in a natural setting.  He was very responsive to questions and requests and was there to welcome and help settle in.,location
"a really peaceful and beautiful location in the hills of Topanga canyon.  access is up a steep, winding road with poor visibility, narrow lanes and some one-lane sections with traffic in both directions.  owner was very communicative and responsive whenever we contacted him.",location
Alex's place is incredible- It has a wonderful energy and is nestled away in nature with a fantastic view. Alex was a great host. Communication and check-in was easy. We can't wait to stay in this sacred space again!,location
Beautiful secluded spot to enjoy the mountain view and sunshine from the decks!  Easy access to Malibu and City down Topanga Cyn.  Alexander is a kind and welcoming host.  We could not have had a better LA experience.,location
"Everything was great. Nice, clean room w/ private bathroom. Access to the kitchen and laundry area. <br/>Rose did a great job as a host, waiting for me as I arrived the first night, giving me directions to close by restaurants and grocery stores. <br/>For sure I recommend it and stay again if I needed to go back to Monrovia. ",clean
"Rose is an amazing person and greets you with a big smile. She is a super host.  The room was comfortable, everything was nice and clean.   All of us living in this place used to hangout, have fun and do amazing things over the weekends. It was amazing to see the warmth  everyone else  had.  Rose had this amazing collection of tea that we used try every other evening.<br/><br/>It was a memorable stay. I am definitely going to  visit again.",clean
"Excellent Host, a team of daughter/Father with 2-3 properties, they will accommodate any price point and will help you every day or leave you alone every day, whatever you prefer. AMAZING REPRESENTATION OF AIRBNB!!",host
"BEST AREA OF LA )( BEST HOST IN LA. I have stayed in a few places near by and NOTHING compares to Rose and her properties, best location of LA hands down! will be staying with them again!<br/>",location
"Rosemary is super sweet and very helpful; she'll give you lots of recommendations for places to eat or visit or anything. From the best burgers in town to what's new and hopping--she knows what's going on. Monrovia is a great place to be for people who are ready for something bigger than a small town, but not as big as a city. Everyone here is very friendly, and the home is very comfortable and welcoming. Although it's on a bit of a busy street, I actually do not find the cars to be especially bothersome. In fact, I don't even notice them; it's surprisingly quiet.",location
"Rosemary was a great host, she was very communicative, friendly and became a great friend after my stay with her. She cares for her guest, her house is beautiful and I loved her dog Honey! Very clean, a lot of privacy, I felt very safe!",clean
"Rosemary is a beautiful person and her home was the perfect transitional housing when I moved from NY to LA. The location is convenient to wonderful shops, eateries and best of all, it is peaceful. I loved it all. ",location
It was wonderful coming back to Rosemary's place.  Clean comfortable with great professional women. ,clean
Would definitely stay again. Best long term airbnb stay by far. I really loved that every guest was long term. It made it much more comfortable. The experience is closer to an apartment then an actual airbnb. That being said remember to bring your own supplies. Not to say that the house doesnt come with a few things but you will find items lacking. ,location
Rosemary's house was very comfortable. I've never lived with other people before and I thought I would hate it but I didn't experience any problems. The room I had was big and the house was quiet. Rosemary made sure I had everything that I needed. And she is very nice. ,clean
Rosemary was very friendly and interesting to chat with.<br/>She made me feel very welcome and returned communication quite quickly. Unfortunately there were quite a few issues with things not working during my stay which kept her busy finding remedies for. Overall my stay was comfortable.<br/>,clean
"Clean, everything works, good kitchen , nice laundry machine <br/>All signs point to super great",clean
"I stayed at Rosemaryâs place for a couple months and it was great. The house was clean and my room was spacious and had a huge closet. The bathroom is shared with a couple other guests, but I never really ran into them. There are plenty of cooking utensils, pans, etc. in the kitchen. Rosemary is great and responded to my messages immediately.",clean
"Overall a great place to stay in Monrovia!  Rosemary is super nice and hospitable, never had any issues with roommates. Thereâs also a bunch of shops and restaurants in walking distance and the lyft rides are only 50 cents around the town.",clean
"My stay at Rosemary's was really good.  I enjoyed my stay and would highly recommend it.        It is centrally located in Monrovia and easily accessible to shopping areas, restaurants and entertainment.  It is a lovely, spacious, clean home for women-only which makes it that much more comfortable.   It accommodates 5 women.  Although other women stay there, it was not a problem at all.  I could comfortably launder my clothes, use the kitchen, and the bathroom with no inconvenience at all.  The room itself was spacious and the bed was comfortable.  Rosemary is quick to respond to any issues that would arise.  My only complaint is that there were no locks on the doors of 4 of the 5 rooms.  Every time I would leave, it was something I was concerned about.  Although everyone was nice, it would have added to my level of security.  Nevertheless, I would stay again.",clean
"Thanks to Rosemary for hosting me in this beautiful place. The house is beautiful , the host is lovely, always caring. The women in the house are nice. Monrovia is a beautiful city !!!! I absolutely recommend this host who s asking if everything is okay.â¥ï¸â¥ï¸â¥ï¸â¥ï¸",host
A great place to stay when visiting the greater Los Angeles area. I am happy in every way about the accommodations.,location
The host Rosemary was very hospitable and the house located in a lovely area Monrovia.<br/>There was lots of plants in the garden of the house  and I also enjoyed garden area.<br/> The room I was staying was very spacious and  serene. I had bit miscommunication with some of roommate while sharing common areas but Rosemary was helpful to resolve the issues.,location
"This home was perfect for my transition to California from out of state; the location was great (beautiful view of mountains and hiking close by), and the host was so quick to answer any questions and help with whatever I needed - which I really appreciated being from out of state.",location
Had a great stay here. My stay lasted a month and I felt comfortable the whole time. Place was clean and felt like I had my own space to get things done here. Would recommend.,clean
"The house is quiet, clean, and spacious. There is a beautiful garden in front and in back. Western bluebirds and other birds were flying around. Lots of butterflies and bees too. Rosemary was a great host. She taught me a lot about the plants in her yard. She was very attentive to my needs and check-in was a breeze.",clean
Rosemary is the sweetest host. Gave me suggestion on where to eat since it was my first time in Monrovia. Would come back and stay with her because itâs a safe area and not that far from everything. My only thing is that if youâre not a fan of bugs donât stay here because there were ants since we were close to the mountains.,host
"This was my second time staying at Rosemaryâs! As always it was a great place to stay for an extended amount of time. Great location, great neighborhood, and Rosemary is great with communication and making sure your well situated.",location
Rosemary is a great host. Her place is comfortable and cozy. Her communication is always immediate. If you are lucky Kiwi will come by and say hello to you (the dog). You will enjoy your stay.,host
"Rosemaryâs is amazing. Great place for working professional women who need a quiet place to relax after a long day of work. I enjoy Rosemary and being in her company. She is kind, smart, and accommodating. She has made my transition to California as seamless as possible. Whenever Iâm in Monrovia this is where I will be. I didnât have any issues doing my laundry or making my food after work. Feels like home.",location
"Michelle and Barry were very helpful hosts. <br/><br/>We arrived to the house which was beautifully stocked with some essentials to our surprise. <br/><br/>We didn't get to meet Barry but Michelle was such a gem and was really helpful with our questions. <br/>They made our stay very pleasant and the house was in a really good location- walking distance to awesome shops, bars and parks. <br/><br/>Our first time in LA and we are so thankful to Michelle and Barry for making it such an wonderful experience. <br/><br/>Thank you",location
"Michelle and Barry were great hosts!  They responded immediately to my initial inquiry and provided very thorough check-in instructions in advance of our trip.  Even though they were out of town for part of our stay, Michelle continued to be available to answer any questions we had and also accommodated our request for an early check in.  <br/><br/>The happy cottage has so much charm and character.  It's also well stocked for anything a traveler could need. We thoroughly enjoyed our stay and particularly loved the patio/garden area.   Many thanks  Michelle and Barry!!",location
"From the moment I booked, this was a great experience. Communications were always prompt and friendly. The house was fantastic! When I arrived there was a lovely welcome pack of goodies, such a nice touch.  The icy cold drinks in the fridge were a welcome relief from the heat - these touches make Michelle & Barry the perfect Air BnB hosts. The house itself was lovely. An older style home with nice renovations that make it a comfortable retreat after running around LA for the day. There's a nice outdoor area to relax in as well. For explorers there are plenty of good restaurants and cafes within easy walking distance. When I revisit LA I hope to be able to stay at Michelle & Barry's place again - I know that it made my trip to LA all the more special!",location
"Michelle and Barry did an excellent job making us feel welcome. Everything was a described and the neighborhood was wonderfully walkable. We appreciated the welcome basket and clear annotated instructions in the book. I loved the front porch area and the little dinner nook by the grill. Walking to the guesthouse was like stumbling into a secret garden. Michelle and Barry were very responsive to texts, as needed which wasn't very often. 3 of us fit very comfortably. I enjoyed all the little touches used to make the decor feel like home. I would highly recommend this to anyone looking to be central to downtown, the beach, hollywood, and all the beauty that lives north of the city. ",location
"Barry and Michelle were great hosts, we enjoyed our stay very much and their hospitality. They paid attention to every detail including a very nice welcome basket. The location was ideal and close to everything in L.A. We would definitely come back!",location
"Wow! This place is amazing! The pictures do not do it justice. It looks smaller in pictures but it's much bigger in real life.  It's very private, well decorated, clean, and just fantastic! Michelle and Barry are great hosts and very sweet. They provided things like clean drinking water, snacks, and even a bottle of wine. This was my first time doing Airbnb and I could not be happier. My trip to LA was magnificent and this adorable place will always be part of those memories!",clean
"The house is comfortable and very nice.Michelle and Barry prepared everything for us. The instruction is very helpful, we follow it and have a wonderful time here. ",clean
"The listing was as advertised, and Michelle and Barry were nothing but welcoming. We had a very pleasant stay.",clean
10 stars! What a wonderful experience. Our hosts were super thoughtful and exceptionally cool. The house was amazing and easy to find. We felt super Zen with all the Buddhas around. I can't say enough good things. Book this bnb NOW!,location
"A fantastic AirBnB experience.  Lots of room (4 people no problem, 3 couples could fit.)  Michelle and Barry are great communicators and have thought of literally everything.  Exactly as described, very clean and in every possible way recommended. Thank you Barry and Michelle! and Grimm. :)",clean
"<br/>This was great; food was present in the refrigerator; a welcoming tray, there was bread; it really made us feel welcomed;overall they were spectacular hosts",clean
"Although I did not have a chance to meet the hosts, Michelle was very friendly and responsive to my messages - great communication. The place is big with a great outdoor seating area. They had a welcome basket of snacks and a bottle of wine, and some eggs and milk and bread in the kitchen, which was very kind. I REALLY appreciated the 5-gallon water jug because I dislike LA tap water and was a great help. The guest house is old so it was chilly but there are heaters in the bedroom and living room, and the extra blanket from the futon made it all manageable. TV was great, wifi was a bit spotty but also fine. The check-in/check-out process was very easy. Parking was almost always easy to find but we did have some trouble at 10pm on a Saturday night (maybe just got unlucky!), so don't be afraid to check out the surrounding streets. I appreciated the note in the description about the possibility of there being a party, but the noise was pretty manageable. Overall this Airbnb was very accommodating, spacious and accurately described. Thank you!",clean
"Michelle and Barry were exceptional hosts, even offering to heat the place one night for us before we got back.  I seriously considered a permanent move - their set-up was sublime.  We were welcomed into their cozy, spacious, and very clean home, with a basket of goodies (popcorn, wine, fresh fruit, an avocado, etc) as well as a very thorough and comprehensive welcome book.  When we got to the fully-stocked kitchen, we noticed another basket of goodies (organic jam, banana, fresh bread, hazelnut spread) AND fresh milk and eggs (AND 2 beers) in the refrigerator.  This darling home was better stocked than my own kitchen!  <br/><br/>The futon bed was very comfortable, as was the bed in the bedroom.  The heater in the restroom was very useful during the cold spell.  <br/><br/>We didn't make use of the back patio for a romantic dinner/cute lunch but I imagine it to be a great place to dine or just read.  Thank you so much for an amazing stay!",clean
"Matt was great from the get go.  He made me feel welcome instantly and bent over backwards to make sure I had everything from satin sheets to fluffy towels to feeling at home right away.  He also turned out to be a really nice guy, caring and sharing, and funny. The room is comfy and has plenty of closet space and dresser drawers, and bright windows on two sides, plus a desk and several chairs.  The area has all the conveniences and restaurants one needs and really is 30 minutes from anywhere in LA by car, with public transportation easily accessible also.  The pool is a nice addition (as is the Entertainment Room he has for rent) and the roommate, Mark, is a cool and pleasant and interesting additive.  It is a real pleasure staying here and Matt constantly does his best to make guests feel comfortable.  Unless you had to stay in the heart of Hollywood/LA, I couldn't recommend this more, and a lot of that has to do with Matt's approach to ensuring guests are comfortable from the very beginning.",location
What a gem! Lovely hideaway in the mountains.,location
Magical spot in Topanga. Alexander was the best host ! Would stay again anytime !,location
Beautiful place and lovely hosts!,location
Beautiful place. Definitely a gem!,location
"Alexander's place here in Topanga is magnificent. You will enjoy your stay and may never want to leave. His home is warm and inviting. You will enjoy looking at his lovely landscape and looking at all his treasures he has collected. while traveling. You will get an authentic taste of Topanga.<br/> Get out and enjoy the trails, good food, sights and serenity.",location
The location and the surrounding nature is very beautiful! Would definitely recommend renting this place!,location
This place is a great introduction to beautiful Topanga. Stunning views and an exceptional host. Highly recommend it.,location
"If youâre looking to get away from it all,  just not too far, Topanga is a wonderful place to visit. Youâll be high up in the mountains, but still only a 15 minute drive from the ocean. The house is lovely. Plenty of space, personal, two large decks with views, and just a great place to hang out. I stayed for two weeks and did a lot of cooking, loved it that the kitchen had everything I needed. The host, Alexander, is super nice and easy to communicate with. Overall, an awesome place that I highly recommend!",location
"This listing was extremely misleading. We frequently rent Airbnbâs for our employees all over the country. Upon arrival there were other guests staying in other parts of the same house and other people on the property seemingly. Nothing was very clear. I was told it was per friendly but the host called Airbnb and tried to have us leave after one day because the dog that travels with my crew was barking too much and disturbing people. Well i thought i rented an âentire placeâ. We worked that out and then he sent me a video where you hear a small dog who is 15 btw, let out a bark maybe twice in 3 minutes - he said it was bothering other guests- he didnât realize the dog would be left alone while we were out. And basically the host was on the property tending to a pile of old things outside that he needed to sort out. There was no real light in the place - only pink and blue lights. The bedroom has zero lights and we had to bring in a utility light from one of our jobs to see. The house is so secluded on the top of a mountain that once we were back at the house from work there was no leaving until the next day.  My employees who travel for us often said it was the worst experience they have ever had at an Airbnb. And ended up leaving two days early and getting their own hotel rooms because of our uncomfortable they were. This house is basically for someone who wants to live on a commune and hang out with the host.",location
attention! deceit. The house does not match the image in the photo! Divided into rooms and handed over in parts! I refused to check in for two weeks trying to get my money back. The owner doesn't get in touch!,clean
"The house was in bad conditions. There was no cleaning and the host didnât take care about it. We know it was in the mountain and dust is a part of the environment but these was a bad experience. We only stayed one night of the 15 we had booked. And the major problem was a gas leak, when i phoned him for help, he refused to come. And told me HE will cancel the trip. We packed and got ready , he did not come , he did not cancel. Quite the opposite he wrote in the app. On of the worst traveling experience of my life. Dont go there",host
"This place had amazing space and views, good vibes, fruit trees, a big bed, a spiral staircase, probably over 100 succulents and various plants, two decks, a snake (although that was his daughter's and probably won't be there every time), parking, a crazy-windy drive up to the house, and a lovely host. We will try to return as quickly as we can :)",location
"My stay with Alexander was perfect. And he was always communicative and respectful of my privacy. <br/><br/>The place has breathtaking views, you are surrounded by nature and plants and makes  for a great place to work from home and also get some quality sleep. <br/><br/>If you are not familiar with Topanga canyon I would suggest arriving during the day as the first time getting there at night could be a little tricky (only if you have never done it before) <br/><br/>The fireplace and music sets the mood and tone for the week and made it feel so relaxing. I wish I could have stayed longer and would def stay again.",location
"Phenomenal stay. Alex is an incredible guy, the home is full of gorgeous art, plants, eclectic decor which make you feel like youâre on a retreat away from the noise of LA. If Iâm ever back in the area Iâll definitely stay here again.",location
"This was our first airbnb experience and the stay at Michelle and Barry's cottage far exceeded our expectations. Their communication was great. We had many questions and they thoroughly answered them all. We really appreciated the welcome basket they left for us. We're vegan and it's hard to find vegan friendly places to stay. They were very thoughtful making sure that everything in our welcome basket was vegan and even the soap in the bathroom was vegan. The cottage is within walking distance or a short ride of several vegan restaurants and an excellent health food store. We were a short ride away from all of the major tourist attractions and Michelle let us know when traffic is the heaviest so we could avoid it which was very helpful. The neighborhood was pretty quiet, except for a little noise from one of the neighbors but it was not a disturbance. The cottage was very clean and cozy. Outside was beautiful with a cute little private patio area and fruit tree. It was a very comfortable stay...truly an oasis.",clean
"Michelle and Barry's bungalow is the best airbnb I have stayed at so far. The house and the grounds surpassed my expectations and it was the perfect accommodation for my family of 4. There was so much thought and effort put into every detail of this rental - the welcome guide that included everything we needed to know about the property and the neighborhood, the wonderful ""supply"" basket with assorted snacks and treats, the fresh bagels from Brooklyn and the eggs and milk and fruit that were left for us, the 2 beers in the fridge and all of the other amenities of the house which were in perfect clean condition. Michelle is a terrific communicator and was so helpful when I first booked the house. It turns out we have babies the same age and she left a highchair and some very popular toys for us in the house. And, (this is the really amazing part) she referred us to her full-time nanny for babysitting so we had childcare all 3 nights that we were staying there, including New Years Eve!! <br/>The house was beautiful, old and perfectly maintained and clean, containing everything that we needed and nothing more. I highly recommend this listing! It is amazing!",clean
"Michelle and Barry's cottage in Silver Lake offered a lovely, stress-free airbnb experience! The place is hidden away from the main road, yet right in the middle of a lively LA neighborhood. Space is clean, tidy, sunny. It was a chilly weekend in LA, but space heaters kept the place cozy. Kitchen is well-equipped for cooking meals, laundry is easy, and the outdoor space is awesome (if only it hadn't been so chilly!). Michelle is great at communicating with guests and really goes above and beyond with amenities -- i.e. eggs, toast, tea, etc. made for some nice lazy breakfasts in the morning!",clean
"In the City of Angels, HAPPY Silverlake is a shining star oasis, with Michelle and Barry welcoming you into the family that is the real Los Angeles.  <br/><br/>HAPPY is Air Better and Best.  Michelle and Barry will make your experience their highest priority, your visit individualized to meet your needs, your stay the highlight of your trip to Los Angeles.<br/><br/>HAPPY is simply the best AirBnB has to offer.  Of all the hidden gems in Los Angeles, HAPPY turns out to be the highest among them.  Book this experience as a highlight of your visit, but please keep quiet so there is availability for me when next I visit!<br/>",location
"I stayed in this room for a week. This is a very clean and beautiful house. Matt really attentive and caring host. He's an interesting person. When I slept on the street was cleaning the road then Matt took care of it and parked my car. It was so cute. Matt even to drive me to soccer. He's a big fan team Galaxy. We had together a wonderful time. I had meet Leroy, this is a very sweet, lovely dog. All of my stay I felt right at home. I recommend this home for staying, you will like it.",clean
Great place to stay.  Place was just as described and exceptionally clean. Matt was very quick to respond and communicated very well.<br/><br/>I had a busy schedule and told Matt beforehand that I would need to arrive late and leave early.  Matt was very accommodating. He even took time late at night to give me advice for directions/traffic in the morning.<br/><br/>This is an excellent place and I would definitely stay again.,clean
Matt was very accommodating and was both welcoming and very helpful with my requests to check-in after hours and to gather some packages that arrived on various days prior to and after my stay!,clean
"Great place, nice clean home. Very flexible and accommodated my very late arrival. I was welcomed by a kind, courteous host at nearly 1am! My first airbnb experience and it absolutely made me want to use this service again! ",clean
"Matt was really friendly and welcoming, as was his housemate - they are really great guys and it's a very laid back environment. Although the house was further out from LA than we anticipated (relying on public transport isn't great in LA!! Took a long time to get Downtown especially as there were rail improvements being made during our visit!) There are lots of eateries and a mall quite close by, and it's about 10/15mins walk to the train station. <br/>Thanks for having us Matt, we enjoyed our stay.",location
Very friendly welcome very clean room and well situated in a safe residential area. I was happy to leave my motorcycle outside. ,clean
"Very nice and clean space. Matt was a great host. Gave us insight on everything that was in the area: food, malls, stores, etc. He also provided us all the things we needed to feel right at home. He also respected our privacy.  I would definitely recommend staying with Matt. Great location.",location
"This place has been a great place as advertised! The house has a very homely feel and it is clean and tidy. It also has most things you need. The room I had was quite spacious and I could store my stuff, do work and rest well. Matt and his roomate have been really great hosts. They are really friendly and you can feel free to approach them if you have anything. The place is about a 15min walk to the nearest metro station which isn't too bad if you don't drive. Shops are also about 15mins away by foot and you can borrow a bicycle from matt (bring your own bicycle lock) if you need to. The neighbourhood is also generally safe. There were a few occasions when I returned to the place nearing midnight and I didn't have any problems. Overall it's a great place to stay. ",clean
"The place was great, very clean and spacious with a bed so comfortable the jet lag almost won. Downey has great transport links and it was easy to get into the city, though there are many great food and drink options within walking distance. Matt was an excellent, chill host who was always available when we had questions. If you're lucky he'll be your friend for the afternoon and take you out for burgers in his cool car!!",clean
Very beautiful and clean house. Bed was very comfortable.,clean
"Matt place is perfect! Clean and close to public transport if you need....getting the center by car will take 35/40min...like all main places... Nice guy who loves soccer, so good to share with him! Matt is good traveler too so i can understand your needs too! Go for it!",location
"We had a great stay at Michelle and Barry's place.  They had a nice assortment of snacks and things waiting for us, including fresh grapefruit from the tree in their yard.  Very clean and comfortable.  The location was great, too, just a block from Sunset Boulevard and some nice restaurants.  ",clean
"Michelle and Barry were excellent hosts. We only met Michelle right at the end of our trip but we communicated via email and text and she was very attentive. She also provided us with a basket of food on our arrival and there was a huge water dispenser to drink from.<br/><br/>The guesthouse was very clean and super comfortable. There was also a folder with loads of recommendations of restaurants and shops in the area and with detailed instructions for how to work everything in the house.<br/><br/>The road we stayed on was very residential but just 10-15 min walk away there were bars, restaurants and shops, and loads was within a short driving distance.<br/><br/>We really enjoyed our stay in this guesthouse. It was perfect!",clean
michelle and barry are two amazing hosts. They were quick to respond and the guidebook to the local area was accurate and worked really well for us. We would definitely book with them again!,host
"This was one of our favorite, and best  experiences with a vacation rental. The cottage is perfect for two with ample space for the small dinner gathering we hosted. Neighborhood is very walkable and convenient. The house had every amenity one would need and was super clean. The lovely porch, with its rockers, proved a beautiful environment to just sit and chit chat. We will definitely be back the next time we go to L.A. Hosts were super responsive and friendly, though we never actually met them in person. Overall, a fantastic 4 day holiday - and I'm quite picky! ",clean
"We had a great stay at Michelle and Barry's place. The house was clean, cozy and lovely. They left us some snacks and drinks which was so thoughtful and much appreciated after a long day of travel. We loved everything about this place and would def stay here again next time we're in LA!",clean
"Lovely and comfortable, and a great outside area! Thanks for hosting us!",location
"It's such a dreamy home! From the moment we walked in we were in love. There was a very informative binder on the dining room table, a welcoming basket full of treats, and grapefruits and oatmeal in case we wanted to eat breakfast. The space was exceptionally clean, and quiet. Sunset BLVD was a block away so it was easy to trek around on foot. <br/><br/>I'd stay here again in a heartbeat.",clean
"From the moment we booked, Michelle and Barry made us feel very welcome and excited about our trip to LA. The guesthouse was in a brilliant location for us with plenty of cool shops and bars nearby that we could walk to. On arrival there was a lovely hamper of food, breakfast items and some welcome drinks in the fridge. Perfect after a long flight! The guesthouse had everything we needed for three people, with loads of towels and bedding. The place was really comfortable and had a gorgeous outdoor yard with plenty of seating where we ate our breakfast. We'd happily stay here if we visited LA again. ",location
"The place was great, very clean, good bed. Matt is friendly and polite.",clean
"Matt is ADORABLE!!! His place is SO clean and smells SO good that we (my friend and me) were even complemeting him about it all the time an we bought the same product he uses to bring back home :) <br/>Everything that the other guests have said about him and is his place is true and I'm pretty sure that we're gonna be friends and that he'll end up visiting Brazil :D Great place to stay, great person to get to know!",clean
Matt is super host!:) It was nice place to stay. We met and surrounded by  care! It was cool to see the whole Los Angeles! Thank you Matt! Honestly from the heart thank you!,location
The reservation was canceled 67 days before arrival. This is an automated posting.,clean
"Excellent communication, very accommodating, place was wonderful. Definitely exceeded all expectations! Would definitely recommend this host and this house. Very scenic. Very luxury. Great experience overall!",location
"The accommodations were absolutely gorgeous.  This is a beautiful place with stunning views.  When we arrived, it was clean and ready to go.  Monica was an excellent host.  She answered all my questions and everything went smoothly as advertised.  We will be back!",location
Wonderful stay.  Beautiful accommodations and view.,location
"Terrific casita, amazing resort, awesome host! Highly recommend, especially for family vacations. ",location
Monica's Casita Suite was great! Terranea is a lovely resort and Monica's place had gorgeous views on par with the rest of the resort. We were visiting for a conference and it was a great space to be and relax. Monica communicated well and we were well taken care of. I definitely recommend staying here if you have the chance to enjoy Terranea! <br/><br/>,location
Monica was a very responsive hostess.  <br/><br/>The Casita was beautiful and matched the pictures shown on the website in every way. <br/><br/>If you are a golfer you will love the proximity to the first hole of golf course. <br/><br/>Overall a wonderful stay at a world class resort. ,location
"The place is very nice , the resort is beautiful. I actualy thought it a house with 2 floors and was surprised that is like a top floor with 2 connected units and 1 separate unit, it was ok but next time I'll take a house. It is no oven in the unit We were going to bake the holiday cookies, so No baking in the unit. Overall it was nice. By the way very comfy beds :). Great for the family with small kids. ",location
What an amazing and spacious casita so close to everything! The staff were super friendly as well and made us feel right at home! We had the best vacation with our children and hope to book Monica's casita again soon!,location
Fantastic place with beautiful view at top notch resort.,location
Stunning in every way possible.  I can wait to return,location
"The best location, easy access to pool and restaurants! Love the amenities of having it more home like with full bathrooms, large bedrooms and a full kitchen with resort accommodations! 100% would stay here again!",location
"Better than advertised â the casita was perfect for our group of 6 â and the views from the casita and resort were spectacular. We saw dolphins every morning from our balcony and even spotted a couple whales!  Golf was steps away, as was the resort spa, and several pools and restaurants. Canât wait to visit Terranceâs again!",location
"The casita is amazing. Very clean, beautiful views, great location. Will definitely stay again!",location
Michelle and Barry's place was even better than anticipated. They made us feel completely welcome with a nice clean space and special snacks upon arrival. The place itself is private and comfortable- feels like you've got your own house to come and go as you please. Ramen place on Sunset was epic!!<br/>Couldn't recommend more!,clean
