listing_id,id,date,reviewer_id,reviewer_name,comments,clean_comments,Sentiment,Location / neighborhood (including quiet),View ,Host /Communication,"Amenities (pool, parking, balcony)",Cleanliness ,Space,Privacy,Value / Price,POI (Point of Interest),Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
5336667,30420965,4/21/2015,29578801,Tenzin,"Ari's place is gorgeous, safe, and ideally located! Unfortunately, the pool was being renovated, so I was unable to experience laying poolside, but Ari's condo has a private patio that was perfect for some sun-worshipping! <br/><br/>Upon check-in, Ari greeted me at the condo, provided a tour of the premises, and recommended local hot spots. He even gave me a lift to the nearest FlyAway on my way to the airport!! I truly felt like I was visiting family! <br/><br/>As my first airbnb, I was so pleased with the experience and will definitely stay there again when I return to LA (and rave to my friends",aris gorgeous safe ideally locate unfortunately pool renovate unable experience lay poolside aris condo private patio perfect sunworshippe checkin ari greet condo provide tour premise recommend local hot spot lift near flyaway way airport truly like visit family airbnb pleased experience return rave friend,1,1,,2,1,,,,,,,,,,,,,,
5336667,34573214,6/9/2015,28231901,Lisa,"This is the best airbnb experience I've ever had. Ari is an amazing landlord. The apartment is exact the same as described, in the pictures and ever better. He provides everything you can think of to make it as your own place, food, beverages, bath essentials.....he ever prepared two slippers, a big and a small one for me and my husband, which was so considerate. He is very responsive, and willing to help us for anything. On the checkout date, he even allowed us to stay as longer as we want to, since our flight is midnight, and there is no other tenant that day. He welcomed and said goodbye to us in person, and plus the awesome apartment, convenient neighbor, this place really makes me feel like home!!! I can't say enough how awesome this place is, and how lucky I am to meet Ari!!! You just have to see it yourself!!! I will definitely to stay at this place whenever I visit LA again!!!! thank you s (Phone number hidden by Airbnb) much, Ari!!!!",good airbnb experience ari amazing landlord apartment exact describe picture provide think food beverage bath essentialshe prepare slipper big small husband considerate responsive willing help checkout date allow long want flight midnight tenant day welcome goodbye person plus awesome apartment convenient neighbor like awesome lucky meet ari visit thank phone number hide airbnb ari,1,1,,2,1,,,,,,,,,,,,,,
4998579,120950447,12/12/2016,1570952,Leslie,Great place! Close to everywhere I needed to visit during my trip. The bungalow is set back from the street so you don't hear any of the traffic noise from the busy street. Added bonus was the outdoor living space. It was beautifully manicured with comfortable patio furniture. Perfect spot to kick back and relax with a glass of wine.,close need visit trip bungalow set street hear traffic noise busy street add bonus outdoor live space beautifully manicure comfortable patio furniture perfect spot kick relax glass wine,1,1,,,,,1,,,1,,,,,,,,,
5336667,49313345,10/3/2015,7572390,Vera,"We had a wonderful stay in Ari's apartment. The apartment is awesome! The bed very comfortable, and this big rain shower: OMG!:-) There were a lot of little attentions, like delicious chocolats, beverages in the fridge, Nespresso coffee, even he let us a bottle of champagne because it was our Honeymoon! The area is pretty nice, short walking distance to bus stop and westwood village (where are a lot of restaurants and any bars). Within 3 Minutes drive you are on the freeway and Highway. We have not met Ari, but we met his wife Shab who shows us the apartment. With both we had a very nice contact. They responded quickly to my mails and questions. My husband and me highly recommend this apartment!!",wonderful aris apartment apartment awesome bed comfortable big rain shower omg lot little attention like delicious chocolat beverage fridge nespresso coffee let bottle champagne honeymoon area pretty short walking distance bus stop westwood village lot restaurant bar minute drive freeway highway meet ari meet wife shab apartment contact respond quickly mail question husband highly recommend apartment,1,2,,2,1,,,,,,,,,,,,,,
5078176,49264382,10/2/2015,14093388,Jenni,"Matt's place is really nice and clean and there is everything needed for a few nights stay. The sofa is quite comfy, best suitable for couples (I was with my sister) if two sleeping in it as it is quite small. The location might be central in greater LA but if the focus is on LA and Hollywood notice that it is a looooong way there, especially if using public transportation as we did spending 1,5 h to get to downtown LA. Otherwise it's great and I highly recommend Matt's place to anyone!",matts clean need night sofa comfy good suitable couple sister sleep small location central focus hollywood notice looooong way especially use public transportation spending downtown highly recommend matts,0,1,,,1,1,,,,,,,,,,,,,
4998579,124771321,1/2/2017,9691990,Juan,"This is a beautiful house with a well kept garden. Me and my family spent the new year there and found a welcome basket to help us celebrate when we first walked in. The house had everything we needed to make our stay very enjoyable and communicating with the hosts was very easy. I like the fact that the property is pretty central and we didn't have to drive too far to get where we wanted to go. Overall, staying here was a very good experience!",beautiful garden family spend new year find welcome basket help celebrate walk need enjoyable communicating host easy like fact property pretty central drive far want overall good experience,1,1,,1,2,,,,,,,,,,,,,,
5336667,60069968,1/18/2016,15647174,Ronald,"Ari's apartment more than lived up to expectations. The apartment is just a few steps away from the secure underground parking spot that comes with it. It is close to Westwood and UCLA. The apartment itself is beautifully and completely furnished and immaculately clean. There was every appliance and accessory one could possible need -- even robes and slippers. Ari was a very amiable and considerate host. He even provided us with a bottle of wine, fresh bagels and fruit, etc. Can't say enough about this place -- five stars. Definitely warrants repeat visits.",aris apartment live expectation apartment step away secure underground parking spot come close westwood ucla apartment beautifully completely furnish immaculately clean appliance accessory possible need robe slipper ari amiable considerate host provide bottle wine fresh bagel fruit star warrant repeat visit,1,1,,2,2,1,,,,,,,,,,,,,
5336667,77778583,6/3/2016,1210597,Christophe,"A 5***** apartment in Westwood!<br/>Nothing less than what is shown on the picture.<br/>I haven't cooked but you will appreciate the brand new kitchen. Bathroom is hotel standard and you will find lot of fresh towels and all you need to shower etc<br/>The neighbor is amazing. Walking distance from whole food market, equinox and many great food options.<br/>The amenities are priceless. Nice pool nice gym and spa area in the Bulding.<br/>Ari is super available if you need him.<br/>I will for sure rent here again for my next business trip.<br/>",apartment westwood picture cook appreciate brand new kitchen bathroom hotel standard find lot fresh towel need shower neighbor amazing walk distance food market equinox food option amenity priceless pool gym spa area bulde ari super available need sure rent business trip,1,1,,1,2,,,,,,,,,,,,,,
5078176,63832912,2/27/2016,31769609,Mark,"Matt was an excellent host. He went out of his way to get me acquainted to the property as soon as I arrived, and made me feel welcomed as soon as I walked through the door. Major bonus points for the vast movie collection available throughout the stay.",matt excellent host way acquaint property soon arrive welcome soon walk door major bonus point vast movie collection available,1,,,1,1,,,,,,,,,,,,,,
4998579,138836334,3/21/2017,9283355,Jennifer,"This place is amazing! Michelle and Barry make all the efforts. This place was absolutely perfect in every way. So welcoming, so clean, the layout of the house is great, and the decor is spot on. Its a hidden gem. I will definitely stay here again on my next L.A. trip. Hopefully for a longer stay. We had no problem finding parking.",amazing michelle barry effort absolutely perfect way welcome clean layout decor spot hide gem trip hopefully long problem find parking,1,,,1,1,1,,,,,,,,,,,,,
4998579,145896188,4/20/2017,12189698,Kinley,"Michelle & Barry's place was so charming and comfortable. Conveniently located in a nice, walkable neighborhood. I would definitely stay there again the next time I'm in town.",michelle barrys charming comfortable conveniently locate walkable neighborhood time town,1,1,,,,,,,,,,,,,,,,,
4998579,162596410,6/21/2017,27326553,Petra,This is the Second time we stayed in Michelle and Barrys cottage and soon we are coming back again. Great for kids. An oasis in the city. Cozy and quiet.,second time michelle barrys cottage soon come kid oasis city cozy quiet,1,1,,,,,,,,1,,,,,,,,,
5078176,165426622,7/1/2017,125134073,Luiz Guilherme,"Amazing, I totally recommend.",amazing totally recommend,1,,,,,,,,,,,,,,,,,,
5078176,619954616,3/20/2020,320968292,Melissa,"Matt is an excellent host. This was my first Airbnb stay and I felt right at home the entire time. The room is exactly as described. The location of the house is very convenient. Thereâs a shopping center and the cheapest gas right up the street. Any restaurant you can think of off the top of your head is within 2 miles. On my days off, I would catch a bus to downtown Long Beach (13 miles) or a Lyft to the Hollywood area (22 miles) for some studio tours. Downtown Los Angeles is about 15 miles away. Parking situation is wonderful. You can park in front of the house or thereâs a whole wall you can park alongside right across the street. Just have to be sure to move your car during street sweeping hours on Mondays. Unfortunately I had to end my stay about a month sooner than expected because my internship ended due to the coronavirus pandemic; but even the early checkout went smoothly. Highly recommend.",matt excellent host airbnb right entire time room exactly describe location convenient shopping center cheap gas right street restaurant think head mile day catch bus downtown long beach mile lyft hollywood area miles studio tour downtown mile away parking situation wonderful park wall park alongside right street sure car street sweeping hour monday unfortunately end month soon expect internship end coronavirus pandemic early checkout smoothly highly recommend,1,2,,1,1,,,,,,,,,,,,,,
5078176,5.52914E+17,2/1/2022,397562261,Trever,Everything was as listed an extremely comfortable.,list extremely comfortable,1,,,,,,,,,,,,,,,,,,
5336667,98171993,8/29/2016,42680119,Julie,The host canceled this reservation 37 days before arrival. This is an automated posting.,host cancel reservation day arrival automate posting,-1,,,,,,,,,,,,,,,,,,
5336667,190505657,8/29/2016,42680119,Julie,The host canceled this reservation 37 days before arrival. This is an automated posting.,host cancel reservation day arrival automate posting,-1,,,,,,,,,,,,,,,,,,
5336667,585221827,8/29/2016,42680119,Julie,The host canceled this reservation 37 days before arrival. This is an automated posting.,host cancel reservation day arrival automate posting,-1,,,,,,,,,,,,,,,,,,
5336667,299364490,7/30/2018,6653086,Monique,"Ari is a wonderfull host. His place is very very nice, very well equiped and well located in Westwood close to UCLA. I am looking forward to stay again at Ari's place when I will be back in LA working at UCLA.",ari wonderfull host equip locate westwood close ucla look forward aris work ucla,1,1,,1,,,,,,,,,,,,,,,
5336667,6.31982E+17,5/21/2022,446964861,Tristan,"Can highly recommend for anyone staying in Westwood. Ari is polite and always available, and the apartment lived up to expectations.",highly recommend westwood ari polite available apartment live expectation,1,,,1,,,,,,1,,,,,,,,,
4998579,192990746,9/11/2017,14176485,Kieran,"Awesome apartment and hosts. Feels nice and quiet, but also really close to Sunset and restaurants and shops. Michelle and Barry let us use their bikes, which we used a lot to get around. The apartment was calm, clean and comfortable, and we really appreciated the extra touches. Great communication and flexibility, since we arrived earlier than expected. Would definitely recommend and stay again!",awesome apartment host quiet close sunset restaurant shop michelle barry let use bike use lot apartment calm clean comfortable appreciate extra touch communication flexibility arrive early expect recommend,1,1,,1,,1,,,,,,,,,,,,,
5338794,29413297,4/7/2015,28245742,Danny,"Thanks Sara and Walter! It was another great stay at your wonderful and reasonably priced home! I hope to stay there again in the future when I'm back down that way. Thanks for such a 'home away from home' and see you again soon. Oh, and Happy Birthday Walter! DC",thank sara walter wonderful reasonably price hope future way thank away soon happy birthday walter,1,,,,,,,,1,,,,,,,,,,
5078638,57914078,12/30/2015,2373122,Maureen,"This was a very comfortable bungalow. I think this was the first time it was rented so we sent the owner a list of a few suggested items for the next visitor. Nothing major, just a few pillows and stuff. The host provided complimentary water, snacks, bagels, coffee, juice, etc. which was a very nice touch. I would definitely recommend this place and stay here again!",comfortable bungalow think time rent send owner list suggest item visitor major pillow stuff host provide complimentary water snack bagel coffee juice touch recommend,1,,,,1,,,,,,,,,,,,,,
5338794,36907883,7/2/2015,13464177,Anne,"Sara is an amazing host! She welcomed us with a beautiful smile and showed us around. We were delighted to see fresh fruits, pastries and drinks, yogurt in the refrigerator. The neighborhood is very safe, clean and quiet. The backyard is artistically designed, the room is very bright and spacious. Sara's thoughtful touch is everywhere, she even provided tooth brush and tooth paste. I also enjoyed our conversation while using her kitchen. We had a wonderful stay and would come back again if we're in the area.",sara amazing host welcome beautiful smile delighted fresh fruit pastry drink yogurt refrigerator neighborhood safe clean quiet backyard artistically design room bright spacious saras thoughtful touch provide tooth brush tooth paste enjoy conversation use kitchen wonderful come area,1,1,,2,1,1,,,,,,,,,,,,,
5338794,40813838,8/2/2015,22063256,Hai,"Sara is super nice and wonderful. The mini apartment is actually considered as a house to us. We have a big living room and one big bedroom with private bathroom. Sara prepared tons of snack, bread, sweet, beverage, juice and even wine. How wonderful is that! She even mentioned we can use the hot tub and barbecue outside the house. Sara is a super cool mom and we love talk with her. We had a terrific time staying at her place and we use the microwave oven and refrigerator in our bedroom and Sara was so nice to let us boil the lobster we brought at Costco at her kitchen and she helped a lot during our stay. At last she checked if there is missing luggages and she found my mom's clothes and brought to us while we were leaving. I definitely recommend stay at her place!",sara super wonderful mini apartment actually consider big living room big bedroom private bathroom sara prepare ton snack bread sweet beverage juice wine wonderful mention use hot tub barbecue outside sara super cool mom love talk terrific time use microwave oven refrigerator bedroom sara let boil lobster bring costco kitchen help lot check miss luggage find mom clothe bring leave recommend,1,,,2,1,,,,,,,,,,,,,,
5338794,53108814,11/5/2015,24267720,Luc,"We had a very nice welcome by Sara and we were pleased to find some snacks and beverages in the room. Sara is very friendly host. The apartment is very nice, spaceous and cosy with a lot of privacy. We stayed for a week and it was very comfortable. Also the always ready to pop-in jacuzzi was relaxing after the long walks in the many nature parks in the neighbourhood.",welcome sara pleased find snack beverage room sara friendly host apartment spaceous cosy lot privacy week comfortable ready popin jacuzzi relax long walk nature park neighbourhood,1,1,,1,1,,1,1,,,,,,,,,,,
5338794,59518621,1/11/2016,26972752,Anthony,"Sara's place was perfect! It was having your own house with everything you want in it. The neighborhood was quiet, parking was easy, the room was spacious, the shower worked amazingly, and there were nice treats that she put out for me- if recommend Sara's place to anyone!",sara perfect want neighborhood quiet parking easy room spacious shower work amazingly treat recommend sara,1,1,,1,1,,1,,,,,,,,,,,,
5078638,85736124,7/13/2016,68927158,Jason,Richard's 2 bedroom bungalow on Beethoven street was just as he described it. He and his associate Cara took the time to prepare for our arrival to great detail. They communicated promptly and courteously at every turn. My 5 person family enjoyed our 5 day stay in LA in this house. We would recommend this location to anyone who wants access to the beach as well as the local attractions.,richard bedroom bungalow beethoven street describe associate cara time prepare arrival detail communicate promptly courteously turn person family enjoy day recommend location want access beach local attraction,1,,,2,,,,,,1,,,,,,,,,
5078638,113254845,11/11/2016,71852787,Lynne,"The house was clean, comfortable and well equipped with everything you might need as described. It's in a convenient location and the host is responsive. I highly recommend it.",clean comfortable equip need describe convenient location host responsive highly recommend,1,1,,1,,1,,,,,,,,,,,,,
5078638,136144325,3/8/2017,71852787,Lynne,"Great location, convenient to all.",location convenient,1,1,,,,,,,,,,,,,,,,,
5078638,171141087,7/16/2017,74692103,Christopher,"Great location and beautiful bungalow for our family trip to see family, friends, and beaches. Almost on our way to buy beach towels, and I look in the hall closet to find beach towels! I especially enjoyed working on the outside table (power plug adjacent) before our daily adventures. Thanks Richard!",location beautiful bungalow family trip family friend beach way buy beach towel look hall closet find beach towel especially enjoy work outside table power plug adjacent daily adventure thanks richard,1,1,,,1,,,,,,,,,,,,,,
5338794,61011555,1/30/2016,585847,Marina,"Sara was absolutely amazing! The place was exactly as described, very comfortable, safe, quiet, in a nice neighborhood. She is so generous with all of the amenities, and since she didn't have a guest following us, she let us stay until 2pm! We got lucky with the weather and were able to enjoy our morning coffee in the lovely garden!",sara absolutely amazing exactly describe comfortable safe quiet neighborhood generous amenity guest follow let lucky weather able enjoy morning coffee lovely garden,1,1,,1,1,,,,,,,,,,,,,,
5338794,67566015,3/30/2016,22503965,Dustin,"Sara's 'Mini Apartment' space was fantastic. The listing was just as described and I felt very comfortable during my stay. Additionally, I was impressed by her warm professionalism and the complimentary amenities provided. I would recommend this space to anyone and would definitely consider staying here again.",saras mini apartment space fantastic listing describe comfortable additionally impressed warm professionalism complimentary amenity provide recommend space consider,1,,,1,1,,1,,,,,,,,,,,,
5338794,72389491,5/2/2016,17871126,Judi,"This place was exactly as described. It was the perfect location for a wedding we were attending at the Newhall Mansion in Piru. Sara made sure we had everything we needed. My daughter, her husband and her 10 month old ended up needing to stay one night with me. Sara provided an air mattress so that we could have her stay with us. Very nice quiet neighborhood. Accommodations were clean and very comfortable! Lots of room!!! More than I expected in every way. Thank you Sara, if the need arises again, I would love to stay there again.",exactly describe perfect location wedding attend newhall mansion piru sara sure need daughter husband month old end need night sara provide air mattress quiet neighborhood accommodation clean comfortable lot room expect way thank sara need arise love,1,2,,2,,1,1,,,,,,,,,,,,
5338794,77326658,5/31/2016,63644357,Lu,"Super super nice place. If you are visiting LA, it is a good choice to stay here.",super super visit good choice,1,,,,,,,,,1,,,,,,,,,
5338794,102615012,9/18/2016,24203546,Sue,Sara has set a completely new standard for airbnbs! What more can I say...I have already scheduled our next several visits.,sara set completely new standard airbnbs sayi schedule visit,1,,,1,,,,,,,,,,,,,,,
5078638,182916147,8/15/2017,107588915,Cristian,"We stayed 1 week 4 adults and 2 kids (2 and 4). The house is exactly as it was published and plenty of amenities like coffee, beers, bread, cream cheese, soap and so on, which are very appreciated for a short visit. The neighborhood is great, and we really enjoyed with the kids the Culver West Park, which is 2 blocks from the house. The host is very responsive and serious about the service provided.",week adult kid exactly publish plenty amenity like coffee beer bread cream cheese soap appreciate short visit neighborhood enjoy kid culver west park block host responsive service provide,1,1,,1,1,,,,,,,,,,,,,,
5078638,230945044,1/29/2018,161146417,Lindsay,Great place to stay! We were here for almost a month as our home down the street was being repaired. We felt right at home. Great for adults and kids a like!!,month street repair right adult kid like,1,,,,,,,,,,,,,,,,,,
4998579,250338878,4/4/2018,6706348,Irene,"What a lovely place! Quiet and tidy, set off from the main road, cozy but big enough to sleep 4 comfortably, and in a very convenient part of the city for exploring Los Angeles. Michelle and Barry were thoughtful and generous hosts (thank you for the food!). We would definitely recommend this place to others and will be in touch next time we are in LA.",lovely quiet tidy set main road cozy big sleep comfortably convenient city explore michelle barry thoughtful generous host thank food recommend touch time,1,2,,1,,1,1,,,,,,,,,,,,
4998579,281403463,6/24/2018,116163057,Joanne,"Perfect getaway located in a ""quieter"" up in coming area of los angeles. All questions were answered right away. Cute patio and inviting seating area. Loved the wildflowers w/in the home and cactus friends throughout the premises. Welcome basket had many treats that show how over the top this place and its hosts are!",perfect getaway locate quieter come area question answer right away cute patio invite seat area love wildflower win cactus friend premise welcome basket treat host,1,1,,1,1,,,,,,,,,,,,,,
5078638,316638842,8/31/2018,61703157,Steffanie,Great place! Had everything we needed for our family. Great yard for our dog to have some space. Great location close to stores and beaches. Clean and comfortable. Definitely would stay again.,need family yard dog space location close store beach clean comfortable,1,1,,,,1,1,,,,,,,,,,,,
5078973,26281828,2/8/2015,233947,Juner,Nita was a perfect host. Very hospitable and always on call for anything. The place was perfect because is was Center to Everything. Sheets were super clean and the room was spot less. Would love to stay here again!!!<br/>Phenomenal host and property. :),nita perfect host hospitable perfect center sheet super clean room spot love phenomenal host property,1,1,,2,,2,,,,,,,,,,,,,
5338813,29861732,4/13/2015,5163620,Celia,Great location great apartment super clean and very comfortable bed!! Really amazing and I will definitely stay here again!,location apartment super clean comfortable bed amazing,1,1,,,1,1,,,,,,,,,,,,,
5338813,40572070,8/1/2015,1320468,Dieter,"Michael is a great host. He really keeps in touch during your stay and has many great suggestions on how to get around. The apartment was cozy and had well equipped kitchen. Although the apartment is near a relatively busy road, you do not hear much traffic and in the evening traffic really dies down.",michael host touch suggestion apartment cozy equip kitchen apartment near relatively busy road hear traffic evening traffic die,0,,,1,1,,,,,,,,,,,,,,
5338813,53570271,11/9/2015,43023816,Wilmer,"We had a great stay at Michael's studio. It was just as pictured: small but intimate. Perfect for what my wife and I needed. Michael keeps a clean studio. The studio is very close to Venice beach where my wife and I would go have breakfast every morning and on Venice Blvd, which my wife and I later found out was a fairly easy boulevard to find. Michael was very welcoming, our interaction was minimal, but that is only because the studio had everything we needed and we found no need to bother him with anything.",michael studio picture small intimate perfect wife need michael clean studio studio close venice beach wife breakfast morning venice blvd wife later find fairly easy boulevard find michael welcome interaction minimal studio need find need bother,1,1,,1,,1,,,,,,,,,,,,,
4998579,291329981,7/15/2018,97829417,Jose,Very cool cottage and centrally located to accommodate anyoneâs visit to the L.A area. We were there just for the weekend attending a baseball game and it was perfect. Close to many restaurants and bars that we stopped at on our walk back from the game. Wish we had spent more time at the house. Totally recommend this house!,cool cottage centrally locate accommodate visit area weekend attend baseball game perfect close restaurant bar stop walk game wish spend time totally recommend,1,1,,,,,,,,,,,,,,,,,
4998579,317862512,9/2/2018,77474858,Lindsey,"Michelle & Barry's guest house was perfect for our last day & night in LA. They left a very generous gift basket and a have created a thoughtful book for guests to familiarize themselves w/ the area. The bungalow was beautiful and we joked that we would love to live there! Definitely would have liked to stay longer. Their patio area is so nice for relaxing and the location is walking distance to all kinds of gems. All in all, this was the best Airbnb experience we've had to date! Top notch hospitality...much appreciated. Thank you, Michelle & Barry!! :-)",michelle barrys guest perfect day night leave generous gift basket create thoughtful book guest familiarize area bungalow beautiful joked love live like long patio area relax location walk distance kind gem good airbnb experience date notch hospitalitymuch appreciate thank michelle barry,1,1,,1,1,,,,,,,,,,,,,,
4998579,341017255,10/25/2018,9405222,Marie,"We really enjoyed staying at Michelle and Barry. It was in walking distance to Bars, Supermarkets and Shopping on Sunset, the apartment was clean and nice and Michelle and Barry were really easy to communicate with. Will definitely return to this housing, if I'm back in L.A",enjoy michelle barry walk distance bar supermarket shop sunset apartment clean michelle barry easy communicate return housing,1,1,,1,,1,,,,,,,,,,,,,
4998579,362170769,12/25/2018,45473932,Luis,The property is a great location. There are plenty of great spots nearby and very near to the freeway. <br/>On arriving we found some welcome gifts from Michelle and Barry such as cookies and a bottle of wine. Overall the cottage was very clean and had everything we needed. The need was comfortable but a bit creaky.<br/>The only major downside is the noise from outside. It's LA so the neighbors are very close and helicopters fly overhead often making it difficult to sleep.,property location plenty spot nearby near freeway arrive find welcome gift michelle barry cookies bottle wine overall cottage clean need need comfortable bit creaky major downside noise outside neighbor close helicopter fly overhead difficult sleep,0,1,,1,1,1,,,,,,,,,,,,,
4998579,409111208,2/6/2019,43942154,Elizabeth,"It' a lovely place. Amazing staying. Great house and great neighborhood, close to many interesting spots in LA. Michelle and Barry were so kind and we felt at home. Very good recommendations to visit at SilverLake and Echo Park also.",lovely amazing neighborhood close interesting spot michelle barry kind good recommendation visit silverlake echo park,1,1,,1,,,,,,,,,,,,,,,
5338813,70511774,4/18/2016,64601736,Jamie,"Michael was a great host, very accommodating and always quick to respond to any questions or requests. The apartment is really nice and the location is great. I travel to LA regularly on business and would definitely stay again.",michael host accommodate quick respond question request apartment location travel regularly business,1,1,,1,,,,,,,,,,,,,,,
